site_name,bandwidth
E0,909592
E1,556637
E2,519109
E3,224196
E4,603427
E5,182593
E6,582592
E7,766650
E8,44958
E9,260408
Ea,519477
Eb,887361
Ec,185793
Ed,906719
Ee,420920
Ef,81708
Eg,570037
Eh,580429
Ei,139834
Ej,556167
Ek,774576
El,751893
Em,236319
En,613288
Eo,212130
Ep,131029
Eq,973662
Er,53185
Es,455185
Et,89001
Eu,77152
Ev,517122
Ew,239452
Ex,659207
Ey,637968
Ez,615216
EA,761686
EB,370096
EC,502366
ED,476559
EE,393408
EF,306404
EG,278011
EH,252383
EI,36968
EJ,581235
EK,419623
EL,7383
EM,613822
EN,983527
EO,242030
EP,222445
EQ,898661
ER,486819
ES,836834
ET,300065
EU,488836
EV,706457
EW,967451
EX,908106
EY,528259
EZ,734405
F0,727077
F1,318591
F2,821574
F3,38072
F4,131955
F5,263113
F6,457300
F7,678234
F8,11298
F9,475070
Fa,140965
Fb,190548
Fc,358053
Fd,20225
Fe,284641
Ff,159865
Fg,158235
Fh,968981
Fi,759904
Fj,638814
Fk,669360
Fl,59961
Fm,393399
Fn,790196
Fo,446402
Fp,641037
Fq,562643
Fr,754582
Fs,440262
Ft,468636
Fu,294637
Fv,518511
Fw,893638
Fx,502532
Fy,315453
Fz,943030
FA,41040
FB,708875
FC,701480
FD,550949
FE,699564
FF,155852
FG,187366
FH,875845
FI,406826
FJ,402028
FK,691809
FL,888383
FM,666054
FN,920705
FO,50389
FP,411177
FQ,331239
FR,262081
FS,737376
FT,495470
FU,601574
FV,643191
FW,842935
FX,609716
FY,342895
FZ,925889
G0,296925
G1,211608
G2,587779
G3,987272
G4,59484
G5,646394
G6,803120
G7,460833
G8,600390
G9,430209
Ga,658911
